state_abbr,state_name,individual_premium_avg,small_group_premium_avg,difference_avg,county_count,year,age,metal_tier
MI,Michigan,397.42,312.94,84.47,83,2026,27,Silver
MI,Michigan,580.08,486.72,93.36,83,2026,50,Bronze
MI,Michigan,902.09,610.14,291.95,83,2026,50,Gold
MI,Michigan,677.28,533.31,143.96,83,2026,50,Silver
MN,Minnesota,349.47,348.35,1.12,87,2026,27,Bronze
MN,Minnesota,467.55,465.39,2.17,87,2026,27,Gold
MN,Minnesota,407.2,386.14,21.07,87,2026,27,Silver
MN,Minnesota,595.57,593.66,1.91,87,2026,50,Bronze
MN,Minnesota,796.81,793.11,3.7,87,2026,50,Gold
MN,Minnesota,693.95,658.05,35.9,87,2026,50,Silver
MO,Missouri,418.74,480.85,-62.11,115,2026,27,Bronze
MO,Missouri,525.05,586.54,-61.49,115,2026,27,Gold
MO,Missouri,436.28,523.02,-86.74,115,2026,27,Silver
MO,Missouri,713.61,819.46,-105.85,115,2026,50,Bronze
MO,Missouri,894.8,999.59,-104.79,115,2026,50,Gold
MO,Missouri,743.51,891.33,-147.82,115,2026,50,Silver
MS,Mississippi,444.58,,,82,2026,27,Bronze
MS,Mississippi,541.67,435.39,106.27,82,2026,27,Gold
MS,Mississippi,448.63,404.65,43.99,82,2026,27,Silver
MS,Mississippi,757.65,,,82,2026,50,Bronze
MS,Mississippi,923.12,742.0,181.12,82,2026,50,Gold
MS,Mississippi,764.57,689.61,74.96,82,2026,50,Silver
MT,Montana,398.28,383.74,14.54,56,2026,27,Bronze
MT,Montana,595.07,501.31,93.75,56,2026,27,Gold
MT,Montana,520.48,429.02,91.46,56,2026,27,Silver
MT,Montana,678.31,653.38,24.93,56,2026,50,Bronze
MT,Montana,1014.74,854.42,160.32,56,2026,50,Gold
MT,Montana,886.54,731.36,155.18,56,2026,50,Silver
NC,North Carolina,436.26,454.73,-18.47,100,2026,27,Bronze
NC,North Carolina,590.39,458.63,131.76,100,2026,27,Gold
NC,North Carolina,504.27,490.8,13.47,100,2026,27,Silver
NC,North Carolina,743.48,774.95,-31.48,100,2026,50,Bronze
NC,North Carolina,1006.14,781.6,224.54,100,2026,50,Gold
